Time,EEG
8.95,-3036.1189126474146
8.96,-2957.0676716072926
8.97,-2821.7529895941075
8.98,-2644.2705740491165
8.99,-2381.893809515684
9.0,-2021.9057319162096
9.01,-1579.0076805996484
9.02,-1073.0351451494214
9.03,-530.6951756919777
9.04,16.708561852247172
9.05,559.0468763309735
9.06,1116.3940705760324
9.07,1678.7096872946875
9.08,2206.5752559231482
9.09,2664.2318541122977
9.1,3031.7358115033676
9.11,3315.576511574419
9.12,3536.8630166479725
9.13,3719.7962429619874
9.14,3890.8436385114032
9.15,4048.3821309456575
9.16,4153.944705790669
9.17,4173.433832797793
9.18,4128.563432415906
9.19,4061.4612849577716
9.2,3995.500875998726
9.21,3932.13457155562
9.22,3882.5420419152006
9.23,3847.6656090611923
9.24,3847.899030407275
9.25,3920.612209913095
9.26,4073.126339406218
9.27,4264.181814553685
9.28,4447.699645543588
9.29,4593.77616314902
9.3,4703.933889805063
9.31,4772.722031589293
9.32,4778.511581830489
9.33,4674.091655832752
9.34,4436.04684011807
9.35,4109.894713058408
9.36,3774.6263321880833
9.37,3473.5352750732663
9.38,3208.392162025532
9.39,2945.055795036846
9.4,2653.1873969310595
9.41,2325.315177802143
9.42,1985.3297799703844
9.43,1659.8494669723927
9.44,1347.7706510876767
9.45,1034.6097225640528
9.46,718.4563063795797
9.47,412.0093794605303
9.48,143.56611694574514
9.49,-80.40680224233115
9.5,-268.46608883835154
9.51,-436.62543662687
9.52,-610.2572422897006
9.53,-805.7445244365642
9.54,-1028.0795800934097
9.55,-1266.5979487644236
9.56,-1506.3294041220663
9.57,-1722.8238647114547
9.58,-1887.4255988029338
9.59,-1999.0873474042555
9.6,-2074.1320497429947
9.61,-2140.6660853973235
9.62,-2226.9843188960504
9.63,-2321.929978020723
9.64,-2399.649697391255
9.65,-2449.167408238426
9.66,-2474.2594330798106
9.67,-2451.0885712554273
9.68,-2345.5785577487145
9.69,-2166.3807412043834
9.7,-1930.2955101128377
9.71,-1645.7985108705252
9.72,-1354.3835624541957
9.73,-1102.5561356943626
9.74,-893.3479975672476
9.75,-692.9456377063361
9.76,-504.7263255014027
9.77,-372.11280854921125
9.78,-319.42924247073216
9.79,-332.419924647838
9.8,-377.39058530353975
9.81,-397.6659042781686
9.82,-322.03172537641404
9.83,-143.168199096448
9.84,51.78000392276544
9.85,197.08462334778474
9.86,328.60634507911
9.87,507.93327134497764
9.88,726.408601725741
9.89,934.0511693307932
9.9,1058.9349526360725
9.91,1008.422219308647
9.92,764.4374462948784
9.93,424.88382435429173
9.94,90.04291103243801
9.95,-239.52869837881443
9.96,-621.7363349263852
9.97,-1054.4844774989424
9.98,-1473.5298105551885
9.99,-1802.2229767758492
10.0,-1970.0426389697502
10.01,-1944.581188343967
10.02,-1775.7557905334857
10.03,-1568.7966641520593
10.04,-1376.984660068568
10.05,-1201.505532621955
10.06,-1084.8605714311059
10.07,-1077.7090917543387
10.08,-1179.1661853114583
10.09,-1358.6149965783366
10.1,-1586.5852623315047
10.11,-1814.8879808643715
10.12,-2006.956771115025
10.13,-2164.426186782201
10.14,-2304.3181421121053
10.15,-2434.949506834631
10.16,-2564.278131406043
10.17,-2680.8643135462335
10.18,-2776.8054293750306
10.19,-2855.6490689810034
10.2,-2902.3051237386417
10.21,-2895.524939490287
10.22,-2850.9578282369625
10.23,-2790.2435800969797
10.24,-2713.5370125616137
10.25,-2627.2381437949007
10.26,-2566.1306522154023
10.27,-2526.3681238772665
10.28,-2487.2014936573905
10.29,-2459.965012471678
10.3,-2461.5402509425553
10.31,-2484.0260684072937
10.32,-2523.6126554704965
10.33,-2578.953797185358
10.34,-2631.302092682924
10.35,-2653.0738213834243
10.36,-2661.1095328570773
10.37,-2680.647978986357
10.38,-2697.8400992136494
10.39,-2678.731705500348
10.4,-2612.0357007508346
10.41,-2497.3866785186287
10.42,-2336.372257460693
10.43,-2139.0999407746663
10.44,-1925.5785397436323
10.45,-1700.6563940334706
10.46,-1462.964176735748
10.47,-1226.985989120736
10.48,-1022.4754503534671
10.49,-864.6011575001468
10.5,-761.6643086144651
10.51,-718.7352407651031
10.52,-732.3277698964873
10.53,-787.7842682100315
10.54,-866.4516182798833
10.55,-937.5129552660935
10.56,-952.57671473038
10.57,-872.5665493224727
10.58,-699.406762821958
10.59,-461.69805796148285
10.6,-197.22894095068634
10.61,55.740125411204644
10.62,294.3541159651023
10.63,558.5219718062602
10.64,877.4460897810353
10.65,1228.0592287504078
10.66,1563.9574976119343
10.67,1845.6439991044583
10.68,2047.1177469041952
10.69,2165.199320850187
10.7,2251.7409440531997
10.71,2367.454094254456
10.72,2515.392784749279
10.73,2671.777517416083
10.74,2837.2011615367337
10.75,3000.8549245960194
10.76,3129.2121748224317
10.77,3209.9666952526095
10.78,3262.2981670929516
10.79,3283.454021533808
10.8,3270.0980376099815
10.81,3235.786829640739
10.82,3173.63358748762
